Case,Algorithm,Bins Used,Time / Item (s),nitems,ndays,Bin Utilization,Avg Items per Bin,Percent Items Departed,Bins Used per Item,Efficiency,Time (s)
Small items,first_fit,3,0.0,10,-1,0.967086725950269,3.3333333333333335,1.0,0.3,0.967086725950269,0.0
Small items,next_fit,4,0.0,10,-1,0.7042682363673589,2.5,1.0,0.4,0.7042682363673589,0.0
Small items,best_fit,3,0.0,10,-1,0.967086725950269,3.3333333333333335,1.0,0.3,0.967086725950269,0.0
Small items,worst_fit,4,0.0,10,-1,0.7660025771906889,2.5,1.0,0.4,0.7660025771906889,0.0
Small items,first_fit_decreasing,4,0.0,10,-1,0.9053990023320178,2.5,1.0,0.4,0.9053990023320178,0.0
Small items,best_fit_decreasing,4,0.0,10,-1,0.9053990023320178,2.5,1.0,0.4,0.9053990023320178,0.0
Small items,next_fit_decreasing,4,0.0,10,-1,0.7780849601498852,2.5,1.0,0.4,0.7780849601498852,0.0
Small items,worst_fit_decreasing,4,0.0,10,-1,0.9083601788890228,2.5,1.0,0.4,0.9083601788890228,0.0
Small items,time_aware_harmonic_algorithm,4,0.0,10,-1,0.9053990023320178,2.5,1.0,0.4,0.9053990023320178,0.0
Small items,rolling_horizon_dp,4,0.0,10,-1,0.7260813766779455,2.5,1.0,0.4,0.7260813766779455,0.0
Large items,first_fit,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,next_fit,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,best_fit,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,worst_fit,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,first_fit_decreasing,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,best_fit_decreasing,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,next_fit_decreasing,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,worst_fit_decreasing,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,time_aware_harmonic_algorithm,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Large items,rolling_horizon_dp,10,0.0,10,-1,0.7975790158582232,1.0,1.0,1.0,0.7975790158582232,0.0
Mixed items,first_fit,7,0.0,10,-1,0.8656430992250297,1.4285714285714286,1.0,0.7,0.8656430992250297,0.0
Mixed items,next_fit,8,0.0,10,-1,0.75672346503014,1.25,1.0,0.8,0.75672346503014,0.0
Mixed items,best_fit,7,0.0,10,-1,0.8839334071169286,1.4285714285714286,1.0,0.7,0.8839334071169286,0.0
Mixed items,worst_fit,7,0.0,10,-1,0.8656430992250297,1.4285714285714286,1.0,0.7,0.8656430992250297,0.0
Mixed items,first_fit_decreasing,7,0.0,10,-1,0.8839334071169286,1.4285714285714286,1.0,0.7,0.8839334071169286,0.0
Mixed items,best_fit_decreasing,7,0.0,10,-1,0.8839334071169286,1.4285714285714286,1.0,0.7,0.8839334071169286,0.0
Mixed items,next_fit_decreasing,7,0.0,10,-1,0.8656430992250297,1.4285714285714286,1.0,0.7,0.8656430992250297,0.0
Mixed items,worst_fit_decreasing,7,0.0,10,-1,0.8839334071169286,1.4285714285714286,1.0,0.7,0.8839334071169286,0.0
Mixed items,time_aware_harmonic_algorithm,7,0.0,10,-1,0.8839334071169286,1.4285714285714286,1.0,0.7,0.8839334071169286,0.0
Mixed items,rolling_horizon_dp,8,0.0,10,-1,0.75672346503014,1.25,1.0,0.8,0.75672346503014,0.0
Repeating Pattern 1,first_fit,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,next_fit,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,best_fit,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,worst_fit,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,first_fit_decreasing,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,best_fit_decreasing,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,next_fit_decreasing,7,0.0,10,-1,0.9,1.2857142857142858,1.0,0.7,0.9,0.0
Repeating Pattern 1,worst_fit_decreasing,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,time_aware_harmonic_algorithm,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 1,rolling_horizon_dp,6,0.0,10,-1,0.95,1.5,1.0,0.6,0.95,0.0
Repeating Pattern 2,first_fit,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,next_fit,6,0.0,10,-1,0.65,1.5,1.0,0.6,0.65,0.0
Repeating Pattern 2,best_fit,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,worst_fit,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,first_fit_decreasing,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,best_fit_decreasing,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,next_fit_decreasing,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,worst_fit_decreasing,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,time_aware_harmonic_algorithm,5,0.0,10,-1,0.8,1.8,1.0,0.5,0.8,0.0
Repeating Pattern 2,rolling_horizon_dp,7,0.0,10,-1,0.5,1.2857142857142858,1.0,0.7,0.5,0.0
Varying Bin Capacity,first_fit,6,0.0,10,-1,0.8819461450073678,1.6666666666666667,1.0,0.6,0.8819461450073678,0.0
Varying Bin Capacity,next_fit,7,0.0,10,-1,0.6663919875126854,1.4285714285714286,1.0,0.7,0.6663919875126854,0.0
Varying Bin Capacity,best_fit,6,0.0,10,-1,0.9179764130250438,1.6666666666666667,1.0,0.6,0.9179764130250438,0.0
Varying Bin Capacity,worst_fit,6,0.0,10,-1,0.8204996348095084,1.6666666666666667,1.0,0.6,0.8204996348095084,0.0
Varying Bin Capacity,first_fit_decreasing,6,0.0,10,-1,0.9179764130250438,1.6666666666666667,1.0,0.6,0.9179764130250438,0.0
Varying Bin Capacity,best_fit_decreasing,6,0.0,10,-1,0.9179764130250438,1.6666666666666667,1.0,0.6,0.9179764130250438,0.0
Varying Bin Capacity,next_fit_decreasing,7,0.0,10,-1,0.6863246316819939,1.4285714285714286,1.0,0.7,0.6863246316819939,0.0
Varying Bin Capacity,worst_fit_decreasing,6,0.0,10,-1,0.7681484281335089,1.6666666666666667,1.0,0.6,0.7681484281335089,0.0
